Trans. Date,Post Date,Description,Amount,Category
11/28/2023,11/28/2023,"GRINNELL COLLEGE DININ GRINNELL IA",2.18,"Restaurants"
11/30/2023,12/01/2023,"$100 STATEMENT CREDIT W 1ST PU",-100.00,"Awards and Rebate Credits"
12/01/2023,12/01/2023,"TRAILWAYS.COM 914-559-2333 NY",36.56,"Travel/ Entertainment"
12/01/2023,12/01/2023,"TRAILWAYS.COM 914-559-2333 NY",62.20,"Travel/ Entertainment"
12/04/2023,12/04/2023,"AMAZON.COM*CO5879UD3 AMZN.COM/BILLWA36WQXDYT25G",20.16,"Merchandise"
12/04/2023,12/04/2023,"AMAZON.COM*IA7ZR5CG3 AMZN.COM/BILLWA5GT9CH0K3JR",33.22,"Merchandise"
12/05/2023,12/05/2023,"GRINNELL COLLEGE DININ GRINNELL IAAPPLE PAY ENDING IN 3625",1.87,"Restaurants"
12/07/2023,12/07/2023,"GRINNELL COLLEGE DININ GRINNELL IAAPPLE PAY ENDING IN 3625",6.56,"Restaurants"
12/09/2023,12/09/2023,"INTERNET PAYMENT - THANK YOU",-56.19,"Payments and Credits"
12/13/2023,12/13/2023,"GRINNELL COLLEGE PIONE GRINNELL IA",10.70,"Education"
12/13/2023,12/13/2023,"SQ *SAINTS REST COFFEE GRINNELL IA0002305843018969961735",5.55,"Restaurants"
12/14/2023,12/14/2023,"AMZN MKTP US*H210E0XO3 AMZN.COM/BILLWAJ6J51TAHXB7",13.46,"Merchandise"
12/15/2023,12/15/2023,"WALMART SC 00647 GRINNELL IA",32.98,"Merchandise"
12/17/2023,12/19/2023,"MC NALLY'S SUPERVALU GRINNELL IA",24.73,"Supermarkets"
12/19/2023,12/19/2023,"DD DOORDASH MCDONALDS 855-973-1040 CAAPPLE PAY ENDING IN 3625",17.39,"Restaurants"
12/19/2023,12/19/2023,"INTERNET PAYMENT - THANK YOU",-69.25,"Payments and Credits"
12/19/2023,12/19/2023,"PETRO ROCHELLE CENTER ROCHELLE IL",2.66,"Gasoline"
12/19/2023,12/19/2023,"PETRO ROCHELLE CENTER ROCHELLE IL",5.34,"Gasoline"
12/19/2023,12/19/2023,"VENTRA ACCOUNT CHICAGO ILAPPLE PAY ENDING IN 3625",2.50,"Travel/ Entertainment"
12/20/2023,12/20/2023,"PRET A MANGER HEATHROW T4 GBRAPPLE PAY ENDING IN 36255.40 @ 00000001.2685185 GBP",6.85,"Restaurants"
12/27/2023,12/27/2023,"INTERNET PAYMENT - THANK YOU",-59.47,"Payments and Credits"
01/19/2024,01/19/2024,"WH SMITH HEATHROW T5 LONDON GBR4.50 @ 00000001.2755556 GBP",5.74,"Merchandise"
01/20/2024,01/20/2024,"AMZN MKTP US*R89N07MN2 AMZN.COM/BILLWA62OIHS9C68F",16.04,"Merchandise"
01/20/2024,01/20/2024,"LYFT 1 RIDE 01-19 855-865-9553 CAAPPLE PAY ENDING IN 3625",61.63,"Travel/ Entertainment"
01/21/2024,01/21/2024,"LYFT 1 RIDE 01-20 855-865-9553 CAAPPLE PAY ENDING IN 3625",25.35,"Travel/ Entertainment"
01/21/2024,01/21/2024,"WALMART SC 00647 GRINNELL IA",46.50,"Merchandise"
01/22/2024,01/22/2024,"ETSY, INC. ETSY.COM/ NY",30.37,"Merchandise"
01/23/2024,01/23/2024,"SQ *TOTAL CHOICE SHIPP GRINNELL IA0002305843019169102230",2.84,"Merchandise"
01/24/2024,01/24/2024,"AMZN MKTP US*R85UY7UK1 AMZN.COM/BILLWA5PE3DAU1II5",5.58,"Merchandise"
01/24/2024,01/24/2024,"GRINNELL COLLEGE BOOK 641-269-3508 IA",31.25,"Merchandise"
01/25/2024,01/25/2024,"INTERNET PAYMENT - THANK YOU",-188.47,"Payments and Credits"
02/02/2024,02/02/2024,"INSOMNIA COOKIES-IOWAC 877-632-6654 IA00244R",14.05,"Merchandise"
02/08/2024,02/08/2024,"INTERNET PAYMENT - THANK YOU",-50.88,"Payments and Credits"
02/26/2024,02/26/2024,"MEDICAP PHARMACY 8007 GRINNELL IA",6.48,"Merchandise"
03/06/2024,03/06/2024,"MCDONALD'S F23426 GRINNELL IA",3.73,"Restaurants"
03/06/2024,03/06/2024,"WALMART STORE 00647 GRINNELL IA",37.77,"Merchandise"
03/09/2024,03/09/2024,"TST* PRAIRIE CANARY RE 641-236-0205 IAAPPLE PAY ENDING IN 362500033630016445500490AA",15.63,"Restaurants"
03/10/2024,03/10/2024,"AMTRAK.COM 202-906-3000 DCAPPLE PAY ENDING IN 3511",29.75,"Travel/ Entertainment"
03/13/2024,03/14/2024,"AMTRAK.COM 202-906-3000 DCAPPLE PAY ENDING IN 3511",-29.75,"Payments and Credits"
03/20/2024,03/20/2024,"INTERNET PAYMENT - THANK YOU",-63.61,"Payments and Credits"
03/26/2024,03/26/2024,"AMTRAK.COM 202-906-3000 DCAPPLE PAY ENDING IN 3511",39.00,"Travel/ Entertainment"
03/28/2024,03/28/2024,"TST* THE IMPROV SHOP SAINT LOUIS MO00075966016811598011AA",5.00,"Restaurants"
03/28/2024,03/28/2024,"TST* THE IMPROV SHOP SAINT LOUIS MO00075966016811564802AA",10.55,"Restaurants"
03/29/2024,03/29/2024,"DD DOORDASH SUBWAY 855-973-1040 CAAPPLE PAY ENDING IN 3625",14.27,"Restaurants"
03/29/2024,03/29/2024,"TST* THE IMPROV SHOP SAINT LOUIS MO00075966016835918513AA",5.00,"Restaurants"
03/30/2024,03/30/2024,"LYFT 1 RIDE 03-28 855-865-9553 CAAPPLE PAY ENDING IN 3625",11.90,"Travel/ Entertainment"
03/30/2024,03/30/2024,"LYFT 1 RIDE 03-29 855-865-9553 CAAPPLE PAY ENDING IN 3625",12.66,"Travel/ Entertainment"
03/31/2024,03/31/2024,"LYFT 1 RIDE 03-30 855-865-9553 CAAPPLE PAY ENDING IN 3625",26.47,"Travel/ Entertainment"
04/01/2024,04/01/2024,"INTERNET PAYMENT - THANK YOU",-98.38,"Payments and Credits"
04/01/2024,04/01/2024,"LYFT 1 RIDE 03-31 855-865-9553 CAAPPLE PAY ENDING IN 3625",20.99,"Travel/ Entertainment"
04/02/2024,04/02/2024,"HM.COM NEW YORK NYAPPLE PAY ENDING IN 3511",58.82,"Merchandise"
04/05/2024,04/05/2024,"INTERNET PAYMENT - THANK YOU",-106.28,"Payments and Credits"
04/13/2024,04/13/2024,"GHIRARDELLI #145 CRN CHICAGO IL",18.22,"Merchandise"
04/13/2024,04/13/2024,"SHELL57443303607 MOLINE IL",3.24,"Gasoline"
04/13/2024,04/13/2024,"SQ *GRIN CITY BAKERY GRINNELL IAAPPLE PAY ENDING IN 36250002305843019634412805",2.00,"Merchandise"
04/13/2024,04/13/2024,"WALGREENS #15921 CHICAGO IL",10.15,"Merchandise"
04/14/2024,04/14/2024,"K1 SPEED ADDISON ADDISON IL",3.84,"Travel/ Entertainment"
04/14/2024,04/14/2024,"K1 SPEED ADDISON ADDISON IL",61.70,"Travel/ Entertainment"
04/15/2024,04/15/2024,"KUM&GO 0137R TIFFIN TIFFIN IA01549R",1.69,"Gasoline"
04/17/2024,04/19/2024,"VFS SERVICES USA INC. WASHINGTON DC",71.80,"Government Services"
04/19/2024,04/19/2024,"INTERNET PAYMENT - THANK YOU",-100.84,"Payments and Credits"
04/19/2024,04/19/2024,"MCDONALD'S F23426 GRINNELL IA",3.20,"Restaurants"
04/20/2024,04/20/2024,"TST* BIG ACAI MARSHALL MARSHALLTOWN IA00040328017234956392AA",9.09,"Restaurants"
04/25/2024,04/25/2024,"EDX.ORG 3018924350 MD",21.90,"Education"
04/26/2024,04/26/2024,"SNACK EXPRESS PEPSI GRINNELL IA",1.60,"Restaurants"
05/03/2024,05/03/2024,"DARI BARN LLC GRINNELL IA",7.50,"Restaurants"
05/03/2024,05/03/2024,"WALMART STORE 00647 GRINNELL IA",7.60,"Merchandise"
05/05/2024,05/05/2024,"GREYHOUND LOS ANGELES CAAPPLE PAY ENDING IN 3511",122.99,"Travel/ Entertainment"
